cveId,assignerShortName,dateReserved,datePublished,dateUpdated,"version",baseSeverity,baseScore,vectorString
2023-0113,VulDB,2023-01-07T08:16:56.225Z,2023-01-07T08:22:36.918Z,2023-10-20T18:04:23.858Z,2.2.0,MEDIUM,5.3,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N
2023-0114,VulDB,2023-01-07T08:23:17.744Z,2023-01-07T08:24:17.736Z,2023-10-20T18:05:37.068Z,n/a,LOW,3.3,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N
2023-0115,CERTVDE,2023-01-09T06:43:50.343Z,,2023-02-01T06:23:48.375Z,,,,
2023-0116,huawei,2023-01-09T00:00:00,2023-05-26T00:00:00,2023-05-26T00:00:00,3.1.0,,,
2023-0117,huawei,2023-01-09T00:00:00,2023-05-26T00:00:00,2023-05-26T00:00:00,3.1.0,,,
2023-0118,redhat,2023-01-09T13:21:05.016Z,2023-09-20T13:39:27.756Z,2023-09-20T13:39:27.756Z,3.1,HIGH,8,CVSS:3.1/AV:N/AC:H/PR:H/UI:N/S:C/C:H/I:H/A:H
2023-0119,redhat,2023-01-09T13:23:29.547Z,2023-09-12T15:14:29.533Z,2023-09-12T15:14:29.533Z,3.1,MEDIUM,5.4,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N
2023-0120,GitLab,2023-01-09T14:16:54.573Z,2023-09-01T10:01:51.685Z,2023-09-01T10:01:51.685Z,10.0,LOW,3.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:R/S:U/C:N/I:L/A:N
2023-0121,GitLab,2023-01-09T00:00:00,2023-06-07T00:00:00,2023-06-07T00:00:00,>=13.2.4,MEDIUM,6.5,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H
2023-0122,redhat,2023-01-09T00:00:00,2023-01-17T00:00:00,2023-03-02T00:00:00,Linux,,,
2023-0123,icscert,2023-01-09T19:11:48.371Z,2023-02-02T22:57:48.508Z,2023-02-02T22:57:48.508Z,all,HIGH,7.8,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H
